Date,Firm,To Grade,From Grade,Action
2/1/2021,Truist Securities,Buy,,main
2/3/2021,KeyBanc,Overweight,,main
2/3/2021,Needham,Buy,,main
2/3/2021,Morgan Stanley,Overweight,,main
2/3/2021,Credit Suisse,Outperform,,main
2/3/2021,Canaccord Genuity,Buy,,main
2/3/2021,Wedbush,Outperform,,main
2/3/2021,MKM Partners,Buy,,main
2/3/2021,Evercore ISI Group,Outperform,,main
2/3/2021,"Monness, Crespi, Hardt",Buy,,main
2/3/2021,Cowen & Co.,Outperform,,main
2/3/2021,Truist Securities,Buy,,main
2/3/2021,Deutsche Bank,Buy,,main
2/3/2021,Barclays,Overweight,,main
2/3/2021,UBS,Buy,,main
2/3/2021,Jefferies,Buy,,main
2/3/2021,Pivotal Research,Buy,,main
2/16/2021,Loop Capital,Buy,Hold,up
