Date,Firm,To Grade,From Grade,Action
2/1/2021,Piper Sandler,Overweight,,main
2/2/2021,Morgan Stanley,Overweight,,main
3/9/2021,New Street,Buy,Neutral,up
3/11/2021,Mizuho,Buy,,init
